author_id,cluster_id,comment_count,videos_commented,comment_ids,avg_comment_bot_prob,final_bot_probability,cross_video_avg_sim,cross_video_max_sim,cross_video_high_sim_count,classification,cluster_confidence,cluster_bot_probability,individual_bot_probability
UCAshR1zQ1yhVY4kmUQqpTcw,-1,1,1,['ebfd1514e4731d8da53879601c79e0a7'],0.12163406032758083,0.11330579901011015,0.14227371862302085,0.28743303169157275,0,likely_human,1.0,0.11330579901011015,0.12163406032758083
UC2AibErZa7obRKOv8-uKFpw,-1,1,1,['0544d5122ee69408403b0984595c98b4'],0.1214894224200524,0.11262463352081643,0.14315546006789343,0.2902346901733166,0,likely_human,1.0,0.11262463352081643,0.1214894224200524
UCzrC2VTw5rvexvrPH6zOuGg,-1,1,1,['c921fd553aa17bf905dc95df2c021241'],0.12734484283654704,0.11261422265675797,0.1547323834185407,0.2564331430505696,0,likely_human,1.0,0.11261422265675797,0.12734484283654704
UCjWYBoZh76y2ja78eQK8bLQ,-1,1,1,['8d35bbde81fcb9c34e1a55e75b62bae4'],0.11208789150244906,0.1125648780948905,0.1685411182849195,0.2788723263104149,0,likely_human,1.0,0.1125648780948905,0.11208789150244906
UC99u59YwXE3iZiG8OjMYrvA,-1,1,1,['0f08c6b32a3d167f33e190b3c9948469'],0.11576909812701765,0.11098676094873333,0.15095062587643068,0.27186531763892324,0,likely_human,1.0,0.11098676094873333,0.11576909812701765
UCyZWpYTia2OZw3codIPjr_g,-1,1,1,['15d791ad52199682b11bb8997d301ca0'],0.10600818113008192,0.11002707355042213,0.15267970088854926,0.3044173210892294,0,likely_human,1.0,0.11002707355042213,0.10600818113008192
UCZ1DzEwNLbOnW4yiSgs-yfg,-1,1,1,['b22115482b0217ecb3aa7d846144e424'],0.10914438045401668,0.10514381497802794,0.13065710182472878,0.28726918585735467,0,likely_human,1.0,0.10514381497802794,0.10914438045401668
UCQZuqRRFZwUbFkj5XC-H39A,-1,1,1,['ae382e4f7f2558d407e98d69202a067d'],0.10594610695313394,0.10501677251012415,0.13667177186574614,0.28544940606514396,0,likely_human,1.0,0.10501677251012415,0.10594610695313394
UChjP9KhdwRa3yKoIKGjQHdw,-1,1,1,['09d9a056c82107b1ddc5104b8953fba7'],0.1170920203561953,0.10168792316521656,0.11462550246477471,0.2478645883571324,0,likely_human,1.0,0.10168792316521656,0.1170920203561953
UCz2YnKXyCapZzdF1ykf_l6A,-1,1,1,['f6633e9e20c9b3ad5ed8fcd48330b2ce'],0.12506878161968632,0.09805290464873079,0.08605527339645024,0.23509300050520376,0,likely_human,1.0,0.09805290464873079,0.12506878161968632
UCa3DlPRi55oSSh-yCV7jSRg,-1,1,1,['88a618bb9e2a615895a83760b2293046'],0.11857356232149976,0.09602526594649732,0.10283717039465957,0.2068222174461482,0,likely_human,1.0,0.09602526594649732,0.11857356232149976
