author_id,cluster_id,comment_count,videos_commented,comment_ids,avg_comment_bot_prob,final_bot_probability,cross_video_avg_sim,cross_video_max_sim,cross_video_high_sim_count,classification,cluster_confidence,cluster_bot_probability,individual_bot_probability
UCKNK94GclrIH3FYZLBI2cRQ,8,1,1,['7dcbeced6ba8ce3a5ee9b0a22ccfa03b'],0.5591764235777632,0.3948112802452395,0.14244449703227774,0.9780718695304357,1,likely_human,1.0,0.3948112802452395,0.5591764235777632
UCv98o9HUz3kb6_9bSShJaIA,30,1,1,['d2ee14ab47374a4c8c1af0c9eee0d55f'],0.5109451719772927,0.3648425145269135,0.1689301923360221,0.8179412737812422,0,likely_human,1.0,0.3648425145269135,0.5109451719772927
UCGEiUm1x-K8Q6AAaz0yVWhQ,44,1,1,['6eba3a2cbbaf0bdd88a085e6ea3308fe'],0.49184184251183416,0.36439620625349245,0.19377786318906554,0.8195941985533592,0,likely_human,1.0,0.36439620625349245,0.49184184251183416
UCGexNX1yvi-3MmXhcH1xuaw,44,1,1,['0072d356541baea0402af51f0117dae6'],0.4927070870031286,0.36427413827318217,0.1885363147564967,0.8195941985533592,0,likely_human,1.0,0.36427413827318217,0.4927070870031286
UCgdaS5MJDmYOwprwT4MCroA,-1,1,1,['c93b0c759b0610533ac4838b5b0f1717'],0.5328157782654896,0.35679559589341825,0.12624404558948166,0.8592138456574167,1,likely_human,1.0,0.35679559589341825,0.5328157782654896
UCILdGJqmeYLMsyvqiN8yQQQ,34,1,1,['7f0464389cb8be7aecb808e45945fda2'],0.5383300167998498,0.35638214515432426,0.20181472490965727,0.5655849279554948,0,likely_human,1.0,0.35638214515432426,0.5383300167998498
UCAc93RdzK4YuCrBUbFYh2jw,70,1,1,['ba85bd1558f1658b1ffd3509a7334fbd'],0.519587809634906,0.35371663771577355,0.153775333909437,0.7305995333961396,0,likely_human,1.0,0.35371663771577355,0.519587809634906
UCDKRkQW6QjLI2RqKIFSCaGQ,8,2,1,"['c08458cc39f916a2e013d140c4d2b36c', '66acd1b62931cdd819c3bce115fadf12']",0.45764241621135593,0.3528832918715492,0.15659200056540523,0.9780718695304357,1,likely_human,1.0,0.3528832918715492,0.45764241621135593
UCCRLYBDNXAG1fWGoUcjngsw,7,1,1,['ede51a93a40488126945f7ebddf193be'],0.517261461981549,0.3501894120749326,0.18706003422800427,0.6117836642140795,0,likely_human,1.0,0.3501894120749326,0.517261461981549
UCD-axlcKx-hjfImju3CoZLA,44,1,1,['14f6d676fa834434174f76209d0172dc'],0.47697375234820627,0.3488940905328509,0.19483232194280037,0.728998775450598,0,likely_human,1.0,0.3488940905328509,0.47697375234820627
