author_id,cluster_id,cluster_confidence,cluster_bot_probability,individual_bot_probability,final_bot_probability,classification
UCu8s1EBnCynunH2464zLKrQ,4,0.4968152866242038,0.1559904724772391,0.11499999999999999,0.13959428348634345,likely_human
UCuB3yqn45DlIffEN6SO8h1A,4,0.4968152866242038,0.1559904724772391,0.11499999999999999,0.13959428348634345,likely_human
UCuCqEQDXEFWwvwT8oLsoS7w,-1,0.0,0.0,0.14057312252964427,0.05622924901185771,likely_human
UCuQvmjB-nlwtVSK1t1k_42Q,4,0.4968152866242038,0.1559904724772391,0.11499999999999999,0.13959428348634345,likely_human
UCuSPrxicWMaxPtiN7_t90Eg,-1,0.0,0.0,0.11499999999999999,0.046,likely_human
UCuT2vSjBQ5QGqQM6gz3-EpA,4,0.4968152866242038,0.1559904724772391,0.11547355958958169,0.13978370732217613,likely_human
UCuVQz2nkVr347T_BvbCZeYQ,-1,0.0,0.0,0.11499999999999999,0.046,likely_human
UCuZ51ocobcJe4IpIePtb4Jg,4,0.4968152866242038,0.1559904724772391,0.11499999999999999,0.13959428348634345,likely_human
UCuqN5YiFTzAAxlAimOVSOiQ,4,0.4968152866242038,0.1559904724772391,0.11515785319652722,0.13965742476495435,likely_human
UCuqzX8R0RaGA-kyfwbJuT1w,-1,0.0,0.0,0.11499999999999999,0.046,likely_human
UCuy4cF4XxsSw0O7ZRbK8p6Q,6,0.4583333333333333,0.16192711779728355,0.11926203630623519,0.14486108520086421,likely_human
UCv17flW3xLPzkYSq1xWvYuw,-1,0.0,0.0,0.11499999999999999,0.046,likely_human
UCv2B-MpW9FEbORUn9zS1Qow,4,0.4968152866242038,0.1559904724772391,0.11499999999999999,0.13959428348634345,likely_human
UCvAa4pMDX7um6ZxUfjWZBsQ,-1,0.0,0.0,0.4631632653061224,0.18526530612244896,likely_human
UCvCQWHH9Aj034nlg4QDcvPg,4,0.4968152866242038,0.1559904724772391,0.11021640636343319,0.13768084603171674,likely_human
UCvLaD1hXp7BAYwr6Bc9ZVUA,-1,0.0,0.0,0.11499999999999999,0.046,likely_human
UCvTAEA3Dj7EyDD8xAZfL6BA,-1,0.0,0.0,0.11499999999999999,0.046,likely_human
UCvTKBbvHDQJKxDF-xFGmRNg,16,0.42857142857142855,0.3227265656527693,0.4555524861878453,0.3758569338667997,likely_human
UCvXfc8bK_XrJeABODtJEW_w,4,0.4968152866242038,0.1559904724772391,0.11499999999999999,0.13959428348634345,likely_human
UCvZuk9ZfsM-iKGNHJ6zPIaQ,-1,0.0,0.0,0.11499999999999999,0.046,likely_human
UCvd4fxsNCHu-Jkqj9XLDhaw,22,0.4444444444444444,0.15242102955362624,0.11499999999999999,0.13745261773217574,likely_human
UCvjFF1d5tKf2mtLOv2dnwag,-1,0.0,0.0,0.11499999999999999,0.046,likely_human
UCvkI2k-Tkx2VfXGwadfG4jw,9,0.6249999999999998,0.15834977561872696,0.11499999999999999,0.14100986537123616,likely_human
UCvnAQQ2pPS4hY3laz49DZRg,-1,0.0,0.0,0.11550689292291502,0.04620275716916601,likely_human
UCvnjn6tp7PE5iRpfM1ECDGw,-1,0.0,0.0,0.11926203630623519,0.04770481452249408,likely_human
UCvtA4sff74Vb0avqMDH8ctA,11,0.4166666666666667,0.16190519374221032,0.11910418310970797,0.14478478948920936,likely_human
UCvxPr1RssstTfJb7q0kcwrw,18,0.3333333333333333,0.15235866292496128,0.11499999999999999,0.13741519775497676,likely_human
UCwEoebx9YVz1iwGcCkMFaiw,4,0.4968152866242038,0.1559904724772391,0.11499999999999999,0.13959428348634345,likely_human
UCwNMf_A5oWL15QdIO34yKsw,4,0.4968152866242038,0.1559904724772391,0.11421928094887362,0.1392819958658929,likely_human
UCwW0kgyD-9rbKDxUDaZWqUw,-1,0.0,0.0,0.1144770277922009,0.04579081111688036,likely_human
