author_id,cluster_id,comment_count,videos_commented,comment_ids,avg_comment_bot_prob,final_bot_probability,cross_video_avg_sim,cross_video_max_sim,cross_video_high_sim_count,classification
UCuM6kpppW-mtPXDufwkUcCg,-1,1,1,['0e4c6240cf76a5b173005fc79a2b3307'],0.5081690624388387,0.32838797711755713,0.18422706977768355,0.6225724255890043,0,likely_human
UCpzwGD0xJV0mu4qZDV48VUw,-1,1,1,['e06dff13b8aaeb97254fd8829378377a'],0.4781216649148202,0.3152229743683014,0.1928705517922791,0.6021139023438982,0,likely_human
UCcgyWfGly9_RUYQdfIDkBtA,1,1,1,['2934e6544fbf79d27a47dfe08b1fb962'],0.4475820029617359,0.3149547632706373,0.17792899606165224,0.6420808162440136,0,likely_human
UC24J8eZZ6kBPsljGa7aLp_Q,1,1,1,['c60fef437b9e429ba20287ccef8e1c06'],0.46961887201192126,0.30962768284295195,0.15229649992492514,0.5467276783684011,0,likely_human
UC_2UYrJRM73YNU-B4qemTrQ,-1,3,1,"['2095b3ca6cc4d8361e2720d25f14fce4', '70692a46668d62461c3ba1aedc7f6e68', '25cfb449aa387b7fadc7d615d4f8d066']",0.43404393618110326,0.3009086880884332,0.15423137006406273,0.7370553326001116,0,likely_human
UCNRXyB_8cro_Y7s8Uvd11cw,-1,2,1,"['794a5560f14511468f2f1989728a2e4e', '9e429df6beb8204b50a9e0910cbd0ba4']",0.43621255463909575,0.2955181343789793,0.1659326767680144,0.650526680562004,0,likely_human
UCvfuf7-lPn-URXqe2qhT9PQ,1,1,1,['4fe6b6b2661c304d4e2a0a1632b58294'],0.4653204559855851,0.2921735504342012,0.13693378976259218,0.41984705599296135,0,likely_human
UCHUVGigngw3gQ2rCVAeI2MA,-1,1,1,['44bdfa445c2286e580ea6721987c68da'],0.43900120273825277,0.291278681819945,0.1846411012150599,0.5645244648685286,0,likely_human
UCIA66MZSi2QQxXeRWmrCmOg,-1,1,1,['3599a99db47b668697d29c93c15e77b0'],0.4745452667541114,0.2883022910510622,0.16921661060102677,0.4053743096920157,0,likely_human
UCeGaYSWw66ydETLSLB71xIQ,-1,5,1,"['83264d93d57c52c79d5d508930c89138', '8e2423fd9670a098acd114d5b8d8d4fd', '3ce025f691da4f286ee5794f78b488e2', '099003e88393879f0edb3f06ead08a16', '1beff153d66fa27a37fcf82ed2485c9e']",0.3647906609740045,0.2880477931008172,0.15169123320426833,0.880450238995885,1,likely_human
UCftwnmn5yFKNKLcfBKJh5tA,-1,1,1,['9e0de3aeca92f6a8a956c479909426df'],0.42215296120257817,0.2852331613869551,0.18191185125239454,0.5741983766415568,0,likely_human
UCQwDemEqVd_uGgAI-nOID_Q,-1,1,1,['ea537a1667f225b65f5291f3bff0ba0f'],0.4268728408859649,0.2842099557028677,0.21987448356859254,0.4787670129522429,0,likely_human
UCMOz_TsuFgcA09vaZy8Svxg,-1,3,1,"['5ac94bd9a817c9d9293ab60de0767c49', '48880d0be6ad5b7d9f18c77bf1c10adb', '988a1cdd4070813e7e22507817dace53']",0.44552400226582645,0.28363995776082607,0.16739869367168175,0.4701585096010937,0,likely_human
UCQsbJv_EifQB8kTD5q-xQ2w,-1,1,1,['1b0d96fe72d0be732ad198389bc918d0'],0.4234440538982971,0.2833695871461611,0.18638297265482723,0.5519623472712811,0,likely_human
UC4P8KZ-8kTIrYM0tc3sgd2w,-1,1,1,['0b233993d7b33e126ed5bd4705e47448'],0.4204148408617464,0.28288544534120585,0.1893667220408053,0.5490349616874414,0,likely_human
UCqJDXsUW2OmT9kUIy6aJJPg,2,1,1,['aec69f260bebc942658fe88e87e2d268'],0.40620329009287354,0.28276627727978454,0.19731471458039945,0.50459005909891,0,likely_human
UC52bodhD1hI3f1LGwW8ftvg,-1,2,1,"['6ae98d36bd1aff940c3ed40ad4ca1677', '283a0c33b00a8015a3d2e86b8ebe4442']",0.4246048013887174,0.2825818148722984,0.19271839579335523,0.5126815190207472,0,likely_human
UC6WktgEVFo3N5HO34pHIEWA,0,1,1,['39c7b6757b27acfda9285e2bf48e555c'],0.4408450396248116,0.2824590163654345,0.17108511892598122,0.4014080504522223,0,likely_human
UCvAa4pMDX7um6ZxUfjWZBsQ,3,1,1,['ba3c14a955c73124696ada0b2f96236b'],0.4546793039375331,0.2822129848272208,0.1542663219504784,0.3508900861238113,0,likely_human
UC4iPlZLj2vRmu2ww13O40aA,-1,4,1,"['a45ee7bf8b4000b48a08e2942cd25bdc', '2572bc7e903e2dd28cf9d59769fab65c', '99c8378c7d055e38b455d023141cfbb3', 'd7e9ea0ea08a4e3948ec98bf66ddf935']",0.42458092526696484,0.28204305076498637,0.17649402154799113,0.5464885460108272,0,likely_human
UCogTx8XkGLjU2eCDUIX03-A,-1,2,1,"['998e33ecefae56c505615e937c0afcd6', 'adb76c88c3b128892334f1eacf8e2c64']",0.4416755196500003,0.28199280580222474,0.15094256236341488,0.5159746418519013,0,likely_human
UCalfTDuHtgXEyWKCs97VuFA,-1,1,1,['7961954c9bbf640b8a7756def34d7b75'],0.43602538602098295,0.2809356625552478,0.1992212819294384,0.43867759373672083,0,likely_human
UCmcqtm15d4QY55vd_uPuQCQ,-1,1,1,['88011e52ca017abe198c03e1d56ab914'],0.4038821877967818,0.2808201445335681,0.15697416378497359,0.6765185899931341,0,likely_human
UC2yC8HbiNJaZQJS8aUM4gAQ,-1,2,1,"['98ec90b4474d46e7e32ca104ab64bbc0', '52bb421e200356be0a83efe35e8208f9']",0.43875739046749285,0.2800225060240292,0.17999670001883503,0.4439803067900666,0,likely_human
UCAC94TXwIjHGIHGYyJdj86g,-1,1,1,['a1daaa9c2c329e25bf875255019194dc'],0.4554717513716168,0.2799539659071803,0.13965379274026937,0.465213598362029,0,likely_human
UCfHegrhOBK3bGHE5a3avrzg,-1,2,1,"['52c17f7432a898397623dbb2feb8a1d9', '9d45f6c54915705e97394d75fc4ba6cf']",0.43977591150255707,0.27962168161152506,0.13773078358876711,0.5273359126810683,0,likely_human
UCk0nnok_qMpmQ5rCKskvgfw,-1,1,1,['a4e7d99b15410c52883a078b042d8148'],0.44938085218576085,0.2795891812989619,0.15784362096663151,0.4394303715671952,0,likely_human
UCBcVvd4jvx7aC9smT59ZOuQ,-1,1,1,['c09d659105ec3d396a6cb33a0364b70e'],0.43046916229177445,0.27947481635079163,0.18382211340957982,0.47883783469235175,0,likely_human
UCdyFYZBDR_mOqjAV7MlU0EA,-1,1,1,['045d68760b1a0d5b3c3fddae53cd346d'],0.43046859495521966,0.2784841989238105,0.18755780442577644,0.4594213564993402,0,likely_human
UC4CDo2u0YQk90hOTYDFdfNQ,-1,1,1,['758c8ae704db57ff91d0db992edc54b7'],0.44133520181372526,0.2784581629242598,0.16789326672952717,0.4340854439362963,0,likely_human
UCbfjI2yj-FIfMf-aqNfL2OQ,-1,3,1,"['e2d38296f52752a5655ef6d4cc66f306', '98c6a4ad344a6c95972bb781882cd174', '4f73cb85cd90e61cc05074b4ac3e3cca']",0.45162841736555975,0.2776659510612228,0.1494822167962644,0.43518523966510125,0,likely_human
UCWBhiJqQW8fh5yp6jbQJ0xg,-1,1,1,['7b3a3170ffad4fd3d3ca050d45f8b41f'],0.4141454474331897,0.2772998294970118,0.18775736236703144,0.5280707996332314,0,likely_human
UCd1WihKRNhH_Ieb9OHoGXJQ,-1,1,1,['42bcb3289ff110b8b54afe6b383d4d13'],0.46006998732500076,0.27692360471280025,0.15041214691042795,0.3736382955847102,0,likely_human
UCKiYIIr7EKNpc_ugNDV7qyw,-1,1,1,['1b93be76ee8e8a2e55f8f9573c7a3cdf'],0.4446107199450305,0.2762046433325227,0.170523333144444,0.4046716997827169,0,likely_human
UCuB-i8KZ6vuYUU_7ODozSRg,-1,2,1,"['bf9b38c169185e98a029b9719f02ae0b', '5dbf49dcc4108925185cdfde5ffbc2d0']",0.44557705132644543,0.27574766631997766,0.1485612517458788,0.44439313566397665,0,likely_human
UCorI6TPrbxh0-_o0S_6Kyjg,-1,1,1,['8e2f62ff456bf74c281f7f4b55a23d61'],0.42742389948843107,0.275745309010862,0.17357618083072548,0.48419173009253313,0,likely_human
UCJOJzvDbmGHs393uYE2QKGA,-1,9,1,"['352090f20db11a918882e4a354980d77', '9a61aa1fdf17409d219b0181cb8d71e6', '5888c8da99ed701e9dbf5c8dea0d5778', '4a4dc44c3ea90f0f8d4610e383de5ebd', '4d8a31a3a875f585389adf1969912c85', 'bf4bab23148b3470ba339a91fa3797e2', '7e0e95166bc20e059e40a0fb6a334376', '0b04fc3104fa14449d0d4f3b4fefd4af', '545986322394472ce6b9baab016f5306']",0.4166116890362905,0.2746758845302942,0.1556496163729692,0.5485997577140634,0,likely_human
UCwYt9itmJ9Tm4jPwZDk8Bag,-1,4,2,"['9bc2aee7af761918144f8d70e4ba7fa6', 'cdce49d39f1a0c21b23e3b3a6f1c53f8', 'dd1f42600be7700d19ebe0f91b61748d', '204f59abbfb503f084036f4c920126db']",0.4444725861147655,0.2736158621455242,0.15090214954108566,0.42875981585241135,0,likely_human
UCMvlV3RAOMUUbZMFp_kbsOA,-1,1,1,['c9bf5e73273c48877ae20a606246d935'],0.4098231901854383,0.273418446795105,0.1730818265653398,0.5361194922741449,0,likely_human
UCrvjZYTceiyoeoaqZdXFacg,-1,2,1,"['6dae4ac3c99ac18d4ea0a741af1d5994', 'f9411be7cc79d3099be04a4be12e9fd1']",0.4485417736979834,0.2731043865785165,0.14208395732363244,0.4195686153889917,0,likely_human
UCbE5N5NjNhxNzBFdvXEZ3MA,-1,1,1,['cc0bd5fcbd8d72d1b751108697119fbb'],0.4259216158045867,0.2729338370104292,0.16523471392609299,0.47147682956921677,0,likely_human
UC2qj76e7g9tUfZLWO922hNQ,-1,3,1,"['61e1750568741c95b2d093e023c1b096', '6fafe05cffaac8a0a78b01d697b5e7b6', '83391953f09ce50810ade2fe83faa1cf']",0.4116011559962424,0.27248833891655133,0.1805203199463224,0.4994309985975558,0,likely_human
UCm0saZgfveXY5KGTT6UDX9w,2,1,1,['9a9df198fe505269ee147a367ed24c3c'],0.4197027829356045,0.2724108236902394,0.14874618512621138,0.43215530909635236,0,likely_human
UCPXB8a7JUa9Hi4npX-B3idA,-1,2,2,"['7b20ff710ee0438ed5dcf46ebba66d06', '518aef3a692052c568e44f7db7fcd10c']",0.4246860682388946,0.27073932639565756,0.15739628454181043,0.4622941837471147,0,likely_human
UCxp1fkNYR8YoKfNG8iOUgSw,-1,1,1,['d2a436e5f675c97cd6d7752763b32bcc'],0.46885378209268486,0.2706191633295959,0.12501633483483426,0.31988975799400743,0,likely_human
UCSwydHPBCt9H43eTs2xivBg,-1,1,1,['6befa39227b37ca2819f920c98d630eb'],0.44321978606209,0.2698704193981981,0.1715274410742906,0.354747060763322,0,likely_human
UCH8VxpBuDVKP0IBrYZN2fBg,1,1,1,['1762d71088f9359a448b006bcc34f742'],0.42615039787086695,0.26986256685370247,0.1574381103907003,0.32755423617742213,0,likely_human
UCuQT8-wrLwjP12PHQdmk0Tg,-1,1,1,['49f4705346e39878bef6fb7d69a6227e'],0.40858814830934465,0.2691543224330538,0.17672541927395233,0.49800649442745065,0,likely_human
UCyUDZxm8uBNHJqe-IRks23w,2,1,1,['c84cd97fe7a00cd7d6ad09d8aac39a9d'],0.48187946728160536,0.2687597085302194,0.07510888460994943,0.2635918095124287,0,likely_human
UCKEGsJmgzI_RGP58rRRBxZg,-1,1,1,['cfcac9083de091945b7d330699635c76'],0.4247483177526937,0.2687332355774269,0.18235847971799224,0.4033746982700159,0,likely_human
UCdD3kGrYhg5cW8hbVuc7RzA,-1,1,1,['5fdfd6477a1460ad05d381c7389eb497'],0.38142376640963327,0.26866658035174096,0.18082689837005902,0.5965159676706673,0,likely_human
UC99jvrjs_qCb8Ko2lkDTWfA,-1,7,2,"['499013c191ebd02bfc60f13d3972e336', 'b4823c6dc2d471a9baa9beb87ee9bf1d', 'a56dea00f69e34f233d852e332463185', '9671e2980c0eb0fa787c30bd952891c4', 'ead82a785465a36e05405b52ef9d786c', 'ed3538147292ebe24996a5b0eef4e0e5', 'cbb04924ae02e026c8ec13ac3e7fc99e']",0.395210158248161,0.26865981655085447,0.14325565309473282,0.6113150554027523,0,likely_human
UCSJMBi6A0hQeicVweTCKn4Q,-1,1,1,['f5e1b2826e8d674e56d5f3a6fb635986'],0.4360197782325712,0.26844689474398614,0.16458528144732118,0.3764081762551133,0,likely_human
UCfahT3ii4D4E0wVAsg7V3Xg,-1,1,1,['eee542eacd0375823cc5a29e222ced59'],0.441434144481093,0.2684153167187719,0.15484878437795466,0.3757449067176878,0,likely_human
UCBUel7A-A7fHMt6v8k9a9dg,-1,2,1,"['0da6f3db7ecd87733548c5f2aa764072', 'a0e979453b1f61f3a2b2cda812789c39']",0.44296671431464807,0.26836725921560717,0.1434350014961223,0.38889367242427786,0,likely_human
UCSkj7dZGnslVgSl_yNWCpnw,-1,1,1,['26fe8246af033ffb43db9c0e75c99e8f'],0.42002536298515336,0.2678359482751679,0.18822132303985017,0.39584507871145563,0,likely_human
UCEZy4uHtukC6TjmzdgRia_g,-1,1,1,['20d1d277b0f8a5f19a8f3afb5f901b67'],0.42362734158184623,0.2673890148700699,0.18716211850155412,0.3784720989412037,0,likely_human
UC4txN56hWZboyhLXATb-6hA,-1,1,1,['41359bc1ab5599af623403ee625543cc'],0.454255749888737,0.26683846169548253,0.1056651798724925,0.3930845157674301,0,likely_human
