author_id,cluster_id,comment_count,comment_ids,avg_comment_bot_prob,final_bot_probability,classification,cluster_confidence,cluster_bot_probability,individual_bot_probability
UCjP9yJ36LGsF4ZmGUp_hA-g,-1,5,"['c516c498009953aea950e18c30d50542', '428564c52d27a8002b7cd222338b6010', 'f471325793bdbe95face5ec44ea7244c', '5f29ebffb8e438792e816fc896be9ecf', '4b9db5f0c7a6426a16ae3ac8b8a01faf']",0.18732979081351703,0.1334926838832255,likely_human,1.0,0.1334926838832255,0.18732979081351703
UCdCN455rmCUQV0RPr6Iur5g,-1,1,['19d64fcc619759f54c8e4cfaf63ed45a'],0.19261687629416904,0.1331810713093395,likely_human,1.0,0.1331810713093395,0.19261687629416904
UCo53afftYGsgJ9dRdybdngw,-1,1,['c30c1d375f9bbecd7901f52ca6ff5ce4'],0.18520459873859693,0.13285231620334878,likely_human,1.0,0.13285231620334878,0.18520459873859693
UCqPHfS7aatmtUdKZNJ4kCSA,-1,1,['5f7c0449c0b130f0a8a7281f61e7cec7'],0.18409401038554918,0.13198537961387993,likely_human,1.0,0.13198537961387993,0.18409401038554918
UCzEMXO3gE2czXedH3oISx9g,-1,1,['ad596053492cd38e1fcaafcfe728ee72'],0.1796972492511885,0.13111272367892796,likely_human,1.0,0.13111272367892796,0.1796972492511885
UCUCz6xCEXe19BtTueNdntdw,-1,1,['94d02f12ddab8b3576f70dc30626355c'],0.18673359899167358,0.13101748755336892,likely_human,1.0,0.13101748755336892,0.18673359899167358
UCSo5Dy5bgkKGDrJ89fhTuIQ,-1,1,['fb149dca400164108c2867f08aa69dbe'],0.18339343094917568,0.1300194946483616,likely_human,1.0,0.1300194946483616,0.18339343094917568
UCjcRcgE7LTKQMhCUERl0CKw,-1,1,['ad8f6187ada3ab318c61fdb57dde3a67'],0.1925729902567962,0.12936729783437448,likely_human,1.0,0.12936729783437448,0.1925729902567962
UCvSsBtSUly7U67t-6QAmwWQ,-1,1,['f37a01ee20401629b87fe10e3f439845'],0.19202640729342282,0.12925639539950579,likely_human,1.0,0.12925639539950579,0.19202640729342282
UCkMHbGZcURs_4xElAJC1esg,-1,1,['0df58760ff4e0908b0c7c99baa211ba5'],0.18398755158658492,0.12860754503296887,likely_human,1.0,0.12860754503296887,0.18398755158658492
UC31aMRwLwE9A1B76k6KYwbA,-1,1,['b6f7787e846a766b70b287f15c03101d'],0.18088915560536528,0.12693252958638215,likely_human,1.0,0.12693252958638215,0.18088915560536528
UCcBSLREtqNumLuGe5mL4VIQ,-1,2,"['dd779c5ffb2d1b322def3fc1ca9bd002', 'ba525516463cffb35d9e8c76b855c2f1']",0.1795456033355461,0.12511096242686226,likely_human,1.0,0.12511096242686226,0.1795456033355461
UCLoCMoHio4wNPP5I7TjrGXQ,-1,1,['2beeeb4c9cf34429deb1584b5394ef65'],0.17956920601494214,0.12419886053030357,likely_human,1.0,0.12419886053030357,0.17956920601494214
UCfL8Y5eHbAMFG8CZUEhJXkQ,-1,1,['519ee8fa943ba6ed5ef2a46b086af52e'],0.16922916932848445,0.1239376251138945,likely_human,1.0,0.1239376251138945,0.16922916932848445
UCkBup-iqD7U5xFAjbiPkUJQ,-1,1,['5ea194994fe493dd4b09fa5c416d6aa9'],0.1685049317257567,0.12384554355527555,likely_human,1.0,0.12384554355527555,0.1685049317257567
UC3gpvGsaUFf1qeI5WAF955A,-1,1,['b4e93ed545a022280921dccb3ee2318c'],0.16954921355302136,0.12297188344492996,likely_human,1.0,0.12297188344492996,0.16954921355302136
UCJ9wBiFZeivtH9BIqKlHegQ,-1,1,['775d2bd77d670d77e43669994ad4ceaa'],0.17591360849278986,0.12198578414309114,likely_human,1.0,0.12198578414309114,0.17591360849278986
UCb1dZjp-0dUy2w6ArZWAbZg,-1,1,['e7738cbdd3428b0007a94fdf9bbc4c39'],0.17098315546815468,0.12192988842327544,likely_human,1.0,0.12192988842327544,0.17098315546815468
UCDMugPRfUCAA9vVxvQymE4Q,-1,1,['0b8b3115616c9f6bab148ea3d0173bf3'],0.16372589940816393,0.1215278399652297,likely_human,1.0,0.1215278399652297,0.16372589940816393
UCydtZD_-HlDUK0SP_-8kgpA,-1,1,['4d2b631d3e732b2deeb52d3af2de3a46'],0.16635940462045323,0.12078661170447072,likely_human,1.0,0.12078661170447072,0.16635940462045323
UC-yvC93DKj6CHCs1TuHfVPw,-1,1,['eff47fb700f17a88e1305109ed1972e7'],0.16366446128920642,0.1190740679518984,likely_human,1.0,0.1190740679518984,0.16366446128920642
UCv-GdDHuRnR5zdBDpkR_rgg,-1,1,['f59fd5a6553001a7ac920dc1240f4506'],0.1719135148429028,0.11905314312961708,likely_human,1.0,0.11905314312961708,0.1719135148429028
UCV8G5DIs1AAYD8Pkg3s-YyQ,-1,1,['862092398255c355a95f18634f7a9407'],0.16493720149355545,0.11861011178274876,likely_human,1.0,0.11861011178274876,0.16493720149355545
UCdVee_Ti_N81Q4gZ4ADYNsA,-1,1,['0b03eab8b4092022bf529996cda8ea68'],0.1586709463804072,0.11760861237479296,likely_human,1.0,0.11760861237479296,0.1586709463804072
UCwVXcFw6VmwZIllruoNhOfg,-1,1,['2243d1f6241900b47fe36bcea1dcce81'],0.1635743645537806,0.11601594050636876,likely_human,1.0,0.11601594050636876,0.1635743645537806
UCu_SqxpV6ruaBoxnG6Sx8Sw,-1,2,"['c8a55fcb1ac672030814011b36b8f4bd', '9355d6db3556c8fe55a0b0e846444100']",0.16454555807185897,0.11575111133697685,likely_human,1.0,0.11575111133697685,0.16454555807185897
UC9s02_ubymAAHVl6ReW-ivQ,-1,1,['0a580692fa5a41d61aa612e658a9f3aa'],0.1658001428331841,0.1154771257837443,likely_human,1.0,0.1154771257837443,0.1658001428331841
UCFnyb-42h7wKNrOziPppLfQ,-1,1,['e6d842fc2090ad8f75b18c6d9af7f004'],0.15693029108437523,0.11465459001337246,likely_human,1.0,0.11465459001337246,0.15693029108437523
UCLtA2T968MUhP6WBdpSWnCw,-1,1,['7b55bb8230a6fc7fd18ecf503c9c3ce2'],0.15686295856025523,0.11459934948594278,likely_human,1.0,0.11459934948594278,0.15686295856025523
UCfABCxMMs-hAkmVjuIHSv5A,-1,1,['246da7fd0bfcac48e0348410e64edbd6'],0.1629422773474132,0.11437106932028106,likely_human,1.0,0.11437106932028106,0.1629422773474132
UCB6FvLI-akkl65nhJAeum-A,-1,3,"['39a623db4197200fb9828869a8024406', 'be3d28d40149000fd80413d92b680e42', '81c55939950c0a334ccd8a365f990bb8']",0.16385907051471937,0.11368045043483674,likely_human,1.0,0.11368045043483674,0.16385907051471937
UCKyhhZgezCUXZs55l_RTYVw,-1,2,"['59b402972e25fdb5e81dcf6767319127', 'e5a99956778a6588e02219fb5f93a0c9']",0.15390092441547853,0.113275758187253,likely_human,1.0,0.113275758187253,0.15390092441547853
UCeVxOIMgu3K_BWgy030xv7w,-1,1,['aa8a10ea0f7b76352e22a1836ea11f42'],0.15211274377506231,0.11262490291309629,likely_human,1.0,0.11262490291309629,0.15211274377506231
UCZOmobfv9BXUz7WG6cDxpnw,-1,1,['eab6c79bfbe82f12c04a0619551fe6cb'],0.1588507547402024,0.11186126673720556,likely_human,1.0,0.11186126673720556,0.1588507547402024
UCBb1xhJEEZAilX6CwCBlMTA,-1,1,['026a725765710ab3288519e7d024db47'],0.15839625638975063,0.11153245232884078,likely_human,1.0,0.11153245232884078,0.15839625638975063
UCJykRsg1mHYX4cVBfy9ve-Q,-1,2,"['9b58dbed72f5f200f86b079de4ed13c8', 'fb700920ed2cf79201c90dd7da67f79f']",0.15451578413891587,0.11101658871198933,likely_human,1.0,0.11101658871198933,0.15451578413891587
UCm2d8913VNfxyyboAVggGFw,-1,1,['124dab30df0cd36a4d2d49a39c2b1893'],0.14787670787513033,0.11008484436374645,likely_human,1.0,0.11008484436374645,0.14787670787513033
UCGPQHHNJaRuwg2dlx3hpKfQ,-1,1,['e09962d44691313acef299a84a2a27b6'],0.14759448232905206,0.10914833176868163,likely_human,1.0,0.10914833176868163,0.14759448232905206
UCX6D5fiwxZnXT2JBKCO4Y4w,-1,1,['aa06dfbb3eb5d5032a1fdc2145ad09cf'],0.14626145690162753,0.10902934310990066,likely_human,1.0,0.10902934310990066,0.14626145690162753
UCDSp9qatDBw7oCSTA1subEg,-1,1,['de035f53c2aaeadcae044a4cfba0dca3'],0.1485391819250657,0.10837651654799507,likely_human,1.0,0.10837651654799507,0.1485391819250657
UC1TT_MbVKvBtv5V5lGPZd3g,-1,2,"['eb702225462648e42538c34dd822a9f0', '79c8007a572f8c935c7c021f7ead4137']",0.14882416402066806,0.10730538620845617,likely_human,1.0,0.10730538620845617,0.14882416402066806
UC6LYrbGAIbxxFLrfC67r-Pw,-1,1,['f36eb42b3c011e5ea7aa4d012d246f39'],0.14763473866020121,0.10544021320814809,likely_human,1.0,0.10544021320814809,0.14763473866020121
UC07iH8fYoP9JUflZG332a1A,-1,1,['7af5e77ae680d4b7b71e71a8f7d17b59'],0.14691362036773872,0.10507707156097154,likely_human,1.0,0.10507707156097154,0.14691362036773872
UClomw_HwkmWoYXRETOCRCpQ,-1,1,['a90887c241e80c9c3bc1aa0a9c326af0'],0.1468515247272428,0.1044313391016994,likely_human,1.0,0.1044313391016994,0.1468515247272428
UCXB4lJZIxJ_HmhETfl40dLw,-1,1,['d6272535209b323bbd148568b768c899'],0.13932034414414643,0.1043138996507742,likely_human,1.0,0.1043138996507742,0.13932034414414643
UC2h6FoyOPxiLSjN2hz5DUDQ,-1,1,['c2b113f7e9b0df61e2f17b2a3970307d'],0.14374748715683977,0.10415225668850482,likely_human,1.0,0.10415225668850482,0.14374748715683977
UCb6FHWh1n8jgsfSqP5IbAGA,-1,1,['5f286ee351ab76e3f7d5b15fa5c78361'],0.14098091230093812,0.10410251471921472,likely_human,1.0,0.10410251471921472,0.14098091230093812
UCDBjwvPUPWVuPemUw2Zjvkw,-1,2,"['f2bdafe5f6ad975febb52f4ba3e95425', '7f8dd271b99ff5613d1cb45bc6f89264']",0.13890688164437487,0.10299555830037727,likely_human,1.0,0.10299555830037727,0.13890688164437487
UCd2HD7lGYqftsQoWXvnG4TQ,-1,1,['e621c0370a6466609179109b78ec8988'],0.14298502936131097,0.10260653449342606,likely_human,1.0,0.10260653449342606,0.14298502936131097
UCUZhHPPfP-9R7zGVk5c3ziA,-1,1,['877c051d92956f1fc0c09d664191abe1'],0.14122954257966008,0.10245826832038381,likely_human,1.0,0.10245826832038381,0.14122954257966008
