author_id,cluster_id,comment_count,videos_commented,comment_ids,avg_comment_bot_prob,final_bot_probability,cross_video_avg_sim,cross_video_max_sim,cross_video_high_sim_count,classification
UCagIZOfDsOMnpUlPDWMJwuA,5,1,1,['ca56adfcd936dc6959012c292ebb4126'],0.5392219963745157,0.3966319042996958,0.13079853869824318,0.9999999999999998,3,likely_human
UC2cl91cbKomx_Uq8iXKG7PQ,14,1,1,['77ef9fb7def3daced32b27955dada640'],0.573178846059555,0.3959765940807506,0.11797655329576874,1.0000000000000022,1,likely_human
UCIQBv2RttoqyMt-WvYIcthg,-1,2,1,"['abc2ee3546a9a7957fc5a9f081f5bc8b', '61b419ad8a5f4c4d6ed2870664c5da06']",0.5176106152283056,0.37905171759433454,0.19581575012629457,1.0000000000000016,1,likely_human
UCNfN8yv7gGSgHsGjUbEylQA,16,2,1,"['00993927b1bbecf06e52d1df1c773fa3', '3032ca38d8d439ca4bfde7076a7e32e9']",0.5231284603191821,0.36701229375769073,0.19559195339768645,0.7889591506698521,0,likely_human
UCLGmQQ5fsMQycwS4x3dTu0w,8,1,1,['5480a99032da9c9108616652abf6dac8'],0.5032311016271822,0.35002608294058507,0.19145686759427682,0.6797387699273539,0,likely_human
UCNnutMbASwOmPdPIQaDakDw,-1,1,1,['994c1d560cb5d8ae92a9a65524a1a8d5'],0.5171717125111492,0.349071679558729,0.23866076966612168,0.6577442654627506,0,likely_human
UCA4ZzrjMww8jOSm0wmkDr6Q,-1,1,1,['3aba41e9fdb56d0e10daf6aaf3a13e99'],0.44802242605322756,0.3453142424014982,0.18337987332533576,1.0000000000000016,1,likely_human
UCTW-g77a_Be4kWrCQ1r2pfw,25,1,1,['4ff2419e9741ebeedbbe247813a9319f'],0.4935391495931444,0.3431867421831612,0.17514740720766692,0.7490608586768978,0,likely_human
UCNdI2IdVuepMei5q2RuNc2Q,-1,1,1,['10cf9ca89ac4deb799900b0d8b905f11'],0.4962622092795276,0.34240124944225603,0.19583178660838624,0.7869176155361197,0,likely_human
UCO2V1AWXi-yVwKzgqV2nH4Q,-1,4,2,"['9bc41375834cf10f01195200a7cdf08c', '6e530631ff0a0dac79c0ea10baf79af1', 'f9cb839e5e45ca82c793b5b18cd49f70', '37a65bb8f3906df26fce2e8f0c481785']",0.44167468600321286,0.3419037075364634,0.18415257415485684,1.0000000000000004,1,likely_human
UC9gF6b3uKzx1anogd0zzLrw,9,1,1,['037d4468cffcdaff674bef4daf0d8ad2'],0.49373907435502196,0.34005494273830017,0.23136761873417128,0.6004176860600251,0,likely_human
UCGIX8tk8WLELoRWBRP49zyQ,16,1,1,['e6a85c95424efedaa12469f1096e2d72'],0.4884710690808713,0.33856593278496744,0.17665323596374657,0.6921175009334558,0,likely_human
UCsyZq--jxmRtphIflk8eQ2g,10,1,1,['42a0c19d86c10c91b1595dbf67eb6b13'],0.4945675231610438,0.3346581877036311,0.18745497165010136,0.6320636405834443,0,likely_human
UCTl3mPvG9wS4o-3G-zTk1UA,-1,1,1,['fb96ef86dc0da5d8b37d1c0995e7125f'],0.5103201506224035,0.3323388736741647,0.2007994099653929,0.5999387118820732,0,likely_human
UCsuhuM1_-ZKnMlCcT6Bt-CA,8,1,1,['c5cbe7965d6b254c7758c53af212c510'],0.4683353605917109,0.33196873079560973,0.17903740741120822,0.6797387699273539,0,likely_human
UC816dEo4RmdioGafTVGGmbw,-1,1,1,['1f218cd3ca2b3917d17d4e0361983e5d'],0.5020528719103958,0.3314742594720389,0.16945901902119515,0.7049082303288117,0,likely_human
UC8T48awbkaLWNlepJ0ib3rA,-1,1,1,['a9f544e0816fd2e50bf6c7a44b61f6b0'],0.5375636881783392,0.3295629869546755,0.15353129912752836,0.549799044960997,0,likely_human
UC8oF58BPP3xCTHqNqb_07Bw,-1,1,1,['8eec04d5071e80e879e318365c8a1dc4'],0.5011582668622333,0.3268774935569281,0.1526871456149311,0.7027110004174995,0,likely_human
