author_id,cluster_id,comment_count,videos_commented,comment_ids,avg_comment_bot_prob,final_bot_probability,cross_video_avg_sim,cross_video_max_sim,cross_video_high_sim_count,classification
UCu2kpDhWtIcHMUgEu_N0veQ,4,1,1,['964d292fa46256b7e3ec4ceb35026631'],0.534559635137926,0.49568582354056645,0.17060083305375043,0.9999999999999999,18,likely_human
UC7mMgJmfFlvijeE6m8qHvug,4,1,1,['92b05d196f9570ae4f49b74ce056cc0d'],0.5240656522361853,0.4906662929061949,0.16976982704711888,1.0000000000000002,17,likely_human
UCqPQB5GaZOGVZHS2lE5bW9Q,4,1,1,['dd50456069d473bd32a9027eaf0969d7'],0.5129226318928695,0.4860019843389453,0.17156089252823067,0.9999999999999999,20,likely_human
UCB_s3fcwGO4vilXEFgTn5tw,4,2,1,"['dfdb799182fdfcbcbc83ee1314a1b8ad', 'b99d145fe49968c73c9bec8d712db1f1']",0.4565980997698537,0.4569872336331325,0.1546863699859316,0.9999999999999999,20,likely_human
UCNfN8yv7gGSgHsGjUbEylQA,10,2,1,"['00993927b1bbecf06e52d1df1c773fa3', '3032ca38d8d439ca4bfde7076a7e32e9']",0.5219666865043461,0.4434023166648685,0.19622418837896638,1.000000000000001,5,likely_human
UCNei2-07FhDfmkx_vCgfNRw,22,1,1,['b601fb5b82223e3b79830f425dec549e'],0.526475902373414,0.43124930570373676,0.15787799258608606,0.9999999999999998,2,likely_human
UCidGGnJZx6oo56aRc3CK09g,4,1,1,['6759663406d6208ecdb72af2772c5cbe'],0.38252911374261833,0.4281032361151346,0.17436922574192792,1.0000000000000009,19,likely_human
UC2cl91cbKomx_Uq8iXKG7PQ,1,1,1,['77ef9fb7def3daced32b27955dada640'],0.573280247656006,0.42803004378434245,0.1189230812149395,1.0000000000000004,6,likely_human
UCeGaYSWw66ydETLSLB71xIQ,4,5,1,"['83264d93d57c52c79d5d508930c89138', '8e2423fd9670a098acd114d5b8d8d4fd', '3ce025f691da4f286ee5794f78b488e2', '099003e88393879f0edb3f06ead08a16', '1beff153d66fa27a37fcf82ed2485c9e']",0.38047288275107843,0.4226996851466279,0.1532449156797545,1.0000000000000009,20,likely_human
UCWKPnFneanj_B7shGGgwZCQ,10,1,1,['4956db5fc2733d94f65be73eb690e280'],0.5555566124874796,0.4194185031312923,0.1539124447752945,0.8994493878259882,1,likely_human
UCt0_35z0pk-rrJCetQCMJsA,4,1,1,['65b3f791677dae476fd2f2b4666eb640'],0.4659654826422028,0.4192799295280677,0.17409919651017783,0.9903923930675077,1,likely_human
UCO3PqikrrSeA4Yb8Ac_9hQA,4,4,2,"['78d912efd437d9e949bf9c9077dc3e65', '914b2e05b05d5ebeba6fb6519b4a35aa', 'c0b8bb4b2d0518d10146cfc9f23100b0', '079844bfd353534d5f3d4ae06acbf02b']",0.3603313462671462,0.4176294622399321,0.17331318101460358,0.9982091524852587,13,likely_human
UC-ftHOlHf8T97QZtwRhb-Rw,10,1,1,['fa6de4d219cd90eefb3d0186478dd335'],0.4589620051932905,0.41556533335036366,0.19944565475644987,1.000000000000001,5,likely_human
UCOKCLPDExZWCM8daXh_4SZA,9,1,1,['66fdb8c44b822600b11a06e19ca42055'],0.5641977511482912,0.4142891029304824,0.14904564740243056,1.0000000000000002,1,likely_human
UC4fXA8AqA3iJFdGjxhJHhOA,2,1,1,['4c0c857e28052336988390fcf7208d1e'],0.5739694989718838,0.4124228606283653,0.153490431798122,1.0000000000000024,2,likely_human
UCrIXTpoeM2mr8K04a24HyXA,18,1,1,['eaf890b20bf9c527e23c655e8240dacd'],0.5464396353069947,0.4050916225896573,0.14927867389138108,1.0000000000000009,2,likely_human
UCjMe12DW_kP05IrBsoP92ZQ,35,1,1,['550b3d7c14a777659eb696bb6332c9cc'],0.5234336545481111,0.4037986839979652,0.21343719376714657,0.852462731476894,1,likely_human
UC-X55PgYFK0DrqZn6ACRMag,67,1,1,['edb596beb34749ee2f0029d226eb656b'],0.5415526430466974,0.40130801731921817,0.16836553311325453,1.000000000000001,2,likely_human
UC7wGrRqS1SYHDpibIRz8zig,10,2,1,"['3e94af7acd5313a4130af4ff4f73d006', '166f7adc610a83f39e725fb05eae78de']",0.3698405222348222,0.4005917598849178,0.1996852021131081,1.000000000000001,10,likely_human
UCTHuWexw6rrRBPW8xHBbEqQ,1,1,1,['cd77b955f06fee9641fa7db9f8a73106'],0.49720642021918116,0.39870667452043373,0.11775366725176718,1.0000000000000007,7,likely_human
UCXIKv8HnCzEEZvh1tQu3W4A,10,8,2,"['42b5bb954ff38178e7db7e9c00a5d4fe', 'e62fd680bc29fef2ff5e26af14b09c7b', '24e4d32673dcee75393a96598c3b7300', 'ffdcac7c5ab92152cfe06b844c48d301', 'cf5377115935d0bac6d67126d31f3f72', 'b6844e637836dde7192eed6c176cfd2e', '6a2a455ee336347c36bdb97d436d577e', 'fae254d71e3c18b99dd092ca7bd97b45']",0.3807679733525855,0.396745153780865,0.15811497664328783,1.000000000000001,10,likely_human
UCRQndkkXfyrAFZPQTEn-AoQ,55,1,1,['a69825d34497b762f6c052ebe92b489b'],0.5440221857931148,0.3960331556732274,0.17614526140367195,0.9999999999999994,1,likely_human
UCagIZOfDsOMnpUlPDWMJwuA,0,1,1,['ca56adfcd936dc6959012c292ebb4126'],0.5384099168169059,0.3936250376321301,0.12464076434283143,0.9999999999999998,2,likely_human
UC_2UYrJRM73YNU-B4qemTrQ,22,3,1,"['2095b3ca6cc4d8361e2720d25f14fce4', '70692a46668d62461c3ba1aedc7f6e68', '25cfb449aa387b7fadc7d615d4f8d066']",0.45139184881624606,0.39108274966553913,0.15058526613413326,1.0,1,likely_human
UC8_fVNEseK_xGOmpfLFW4jg,51,1,1,['97801d84cd475799abe96e27f237e5c8'],0.5139354130054564,0.3889366621924996,0.15950301359049185,1.0000000000000009,3,likely_human
UCTOaDjNCSesWCGZVL-yYLcw,18,1,1,['e1d9e1e7e8475d4e6b0da30a4d64a877'],0.5167971827249231,0.38818970347080994,0.15582351972307107,1.0000000000000007,1,likely_human
UC9RM3D3ttctKRvnFJD6ETVw,4,4,3,"['21303957349777e4115c6cb51bfa500e', '33e57a18d561caefb38d4bc2c356f162', '6f44c5ecd07179e63a5dbd352d7f2d19', '350ca471b3c9f1f6f6aa631d05d49211']",0.29382710180485083,0.3873088121374585,0.17119959618118794,1.0000000000000002,15,likely_human
UC2pmI1wQjhTiUOkQaG85C8A,10,1,1,['af99692654b2c10bbd6306f12084daec'],0.47587826634117775,0.38555497870005684,0.16268450756751088,0.8994493878259882,1,likely_human
UCM8pVsgvFp5Th2DJO4Bv-_w,11,1,1,['e15e2a07be373979533b0545341ec729'],0.5623315858409742,0.3807626857954619,0.10935500273359107,0.8083384422685271,0,likely_human
UCZBf9k1jIBeK8w8tSqngvDA,-1,1,1,['42abf39b60282c8d1d2debe2c04e43d0'],0.5138134152751626,0.37847624300297894,0.17733604444676748,1.0000000000000016,2,likely_human
UCIQBv2RttoqyMt-WvYIcthg,-1,2,1,"['abc2ee3546a9a7957fc5a9f081f5bc8b', '61b419ad8a5f4c4d6ed2870664c5da06']",0.5161928289779144,0.3782426460278043,0.19315851674884044,0.9999999999999984,1,likely_human
UCxSVymIvp-d6eSktryiaLiA,11,1,1,['799598942b2a347e6a21d697a2e3ac64'],0.5497666725234088,0.37519635308744614,0.11225456447199506,0.8039811718662502,0,likely_human
